	mean	se_mean	sd	X2.5.	X25.	X50.	X75.	X97.5.	n_eff	Rhat
eta_[46]	-0.582637093712929	0.00193553225931494	0.213413258644296	-1.00416061326443	-0.727201662974139	-0.583787432993833	-0.439833359447414	-0.161906582694857	12157.4352786884	0.999914896244632
eta_[47]	-0.363830643919845	0.00224285501356321	0.215445350784256	-0.77954446863925	-0.507420020511198	-0.365309125565693	-0.2229389458415	0.0729025349886176	9227.24077274197	0.999900947615199
eta_[48]	-0.00863960325231191	0.00263665393789187	0.215560117942121	-0.421801872007968	-0.155458247668778	-0.0114062836041154	0.133872860461737	0.421650511233289	6683.90949726964	0.999815541978525
eta_[49]	-1.49583536605587	0.00345025181463972	0.259553433600188	-2.04344301454386	-1.66308796700535	-1.4789624844268	-1.31450706047829	-1.02565798266135	5659.15997693045	1.00075847163437
eta_[50]	0.239780941550365	0.0030329741833663	0.184208139406846	-0.114259834887684	0.113258853254547	0.238630412303152	0.360895345953564	0.614146524973077	3688.75834275312	1.00018193177922
eta_[51]	-0.00884577197217285	0.00268758577659221	0.219348526283884	-0.431474542977649	-0.157122652682185	-0.013182655802098	0.137762951203193	0.428384516476727	6661.08190425525	0.999977533624465
eta_[52]	-0.0706261821546997	0.00259899516348166	0.217530332693104	-0.491042745912828	-0.218876820761599	-0.0736041164946686	0.0746764864901672	0.358259843678333	7005.331727316	1.00018172057102
eta_[53]	-0.749197536789467	0.0019521930448775	0.212903496978221	-1.16409787644285	-0.892871521313975	-0.749348543530983	-0.603575281299877	-0.333670256748054	11893.7845549514	1.00007385976676
eta_[54]	-0.207549740902037	0.00231071980261565	0.213012931248488	-0.62118244490813	-0.34957551143731	-0.208749970644562	-0.0650425129944063	0.214950000590561	8498.01248793118	1.00013590660127
eta_[55]	-0.898923734704847	0.00232886483242573	0.214397289899497	-1.32060149548012	-1.04195907934185	-0.896996982300748	-0.757323832978634	-0.480560671341915	8475.20120097666	1.00127416201421
eta_[56]	-2.65154358539981	0.00573893261414826	0.22136965852938	-3.11494400209577	-2.79397061057357	-2.6397294267047	-2.50133481115952	-2.23669840035191	1487.90067095585	1.00194649601322
eta_[57]	-0.334267166649241	0.00213159371094688	0.214339756283161	-0.750636848737153	-0.478753854355181	-0.334366911604207	-0.191183243341686	0.0856273294221504	10111.0580703903	0.999880935727828
eta_[58]	-1.35569252353228	0.00298164496188325	0.244346933178267	-1.86942996743909	-1.50812863891147	-1.34363128976838	-1.18789506658776	-0.905821972539744	6715.86453625569	1.00003470076302
eta_[59]	-0.91285205792891	0.00204180677088604	0.214346910706674	-1.34159336963484	-1.05528732453802	-0.911072941724546	-0.768031399109766	-0.493554678918424	11020.5984314541	1.00019768897127
eta_[60]	-0.313297561713733	0.00212592150081738	0.214322475313747	-0.729987859288374	-0.454677824691294	-0.317271728483558	-0.170014789408726	0.109501543320959	10163.4460109075	0.999988637797979
eta_[61]	0.122362828469492	0.00300712153644018	0.220448445918541	-0.306137440448912	-0.0256759744338384	0.119180703364623	0.267144427150228	0.570876227843152	5374.17892038052	1.00001107630301
eta_[62]	-1.85070780941456	0.00456526630721035	0.272698150531196	-2.36830360997192	-2.04294155525351	-1.85671542589209	-1.66030002618365	-1.32010223429967	3568.0600273314	1.00079268831346
eta_[63]	-1.78249028280619	0.00395583720756661	0.275244616778777	-2.3094092141522	-1.9775348871678	-1.78158568470442	-1.58874450521236	-1.25490732072254	4841.28718365191	1.00085846324712
eta_[64]	-2.15325111420908	0.00476701500314842	0.236092143022814	-2.60451736292679	-2.31394765755442	-2.15782363204115	-1.99957716102408	-1.67507813917444	2452.8445814794	1.00112134206146
eta_[65]	-2.64493993415728	0.00544816492438217	0.217077818739103	-3.09929957126606	-2.78440874330372	-2.63748695689019	-2.49591709244954	-2.23902893888215	1587.56094440412	1.00119180575984
eta_[66]	-2.49509961390395	0.00519082809597695	0.214690530770073	-2.9408090061088	-2.63141458481229	-2.49019032488786	-2.35188485843518	-2.08919740235549	1710.61582775123	1.00202329167417
eta_[67]	-2.39639328990576	0.00473276094681599	0.216469186849098	-2.83218147554815	-2.53887403439467	-2.39731558871036	-2.24972201888727	-1.98382791975796	2092.00652203191	1.00086481986256
eta_[68]	-2.41455744189126	0.00494489621667759	0.215495399435186	-2.85442570139121	-2.55294824224207	-2.41153418122845	-2.26780290321718	-2.00619856847914	1899.16038968168	1.0014436140223
eta_[69]	-2.26801483851632	0.00474752100855726	0.223615777936195	-2.70531029134202	-2.41560144053998	-2.26800114577713	-2.12033867924847	-1.83224068795913	2218.55957961666	1.0008689492781
eta_[70]	-2.77872017416618	0.00612184870368532	0.227361708684398	-3.24783140446426	-2.92495044974592	-2.76916218352608	-2.62134471891007	-2.36619103961845	1379.33407307887	1.00131397542382
eta_[71]	-1.40675782953361	0.00324844960081071	0.247344568162174	-1.92173648917984	-1.56651911863491	-1.39210415127239	-1.23730081658245	-0.946021066451557	5797.65660562786	1.0005136271857
eta_[72]	-1.48827547856939	0.00342812363737903	0.26071453108216	-2.03991095394744	-1.65335996943455	-1.46998879515886	-1.30747088813314	-1.0209039752319	5783.85666477121	1.00072063374589
eta_[73]	-2.34323831112212	0.00475142243782004	0.220046808835471	-2.78197060560464	-2.49009617166632	-2.3407753424414	-2.19486947500807	-1.92309761281943	2144.78054195992	1.00114758307759
eta_[74]	-1.17238766034093	0.00246991468322263	0.221811979984018	-1.62236390600785	-1.3189123835382	-1.16532339407906	-1.02032825786423	-0.754124587477247	8065.03196798143	1.00036612560831
eta_[75]	-0.364801742066814	0.00231424613099345	0.215752446829463	-0.780983918070006	-0.509994917351121	-0.364952551093714	-0.220444334724784	0.0568006199034003	8691.4526143108	1.00020720436503
eta_[76]	-2.4424240918514	0.00490429024192815	0.212678648093033	-2.87632345287203	-2.58043337990331	-2.4375864276235	-2.29990178850857	-2.03322624507228	1880.5957631958	1.00107200865939
eta_[77]	-0.78191917652111	0.00196608902520173	0.213202034607114	-1.19978651843963	-0.926199664299828	-0.782902569891825	-0.637435237355856	-0.36786263479247	11759.1608740588	1.00040805178293
eta_[78]	-1.00680616962507	0.00226738258423389	0.214438970956174	-1.43643606343371	-1.14825659539756	-1.00372112033188	-0.860844840238554	-0.594084309926602	8944.53599188389	0.999999885905477
eta_[79]	-2.52474751399025	0.00505236010531683	0.214132083544675	-2.96120178762169	-2.66392772890253	-2.51842539985441	-2.37718262287303	-2.12316165637383	1796.28354367047	1.00158505737282
eta_[80]	-2.53445161772503	0.00497724673447817	0.214582131548041	-2.98269284452243	-2.6698505542067	-2.52706793102667	-2.39119654089878	-2.13158108405279	1858.69773367435	1.00168491787327
