	mean	se_mean	sd	X2.5.	X25.	X50.	X75.	X97.5.	n_eff	Rhat
p_y[143,1]	0.000225309104134279	0.0000232125723252918	0.00262003541432039	0.0000000000000466509418593504	0.00000000843704793030768	0.000000516881047073722	0.0000151260215828996	0.0013893285864938	12739.9517550417	1.00028508673265
p_y[143,2]	0.999774690895866	0.000023212572325293	0.00262003541432039	0.998610671413506	0.999984873978417	0.999999483118953	0.999999991562952	0.999999999999953	12739.9517550405	1.00028508673265
p_y[144,1]	0.00011870734781621	0.0000175965791687169	0.00201031889422871	0.00000000000000135287462004156	0.00000000100121176818185	0.000000103730458716317	0.00000414574770258557	0.000624378664672121	13051.8902518988	1.00027188284341
p_y[144,2]	0.999881292652184	0.0000175965791687199	0.00201031889422871	0.999375621335328	0.999995854252297	0.999999896269541	0.999999998998788	0.999999999999999	13051.8902518943	1.00027188284341
p_y[145,1]	0.000121043349228521	0.0000168338923840091	0.00189276183504312	0.000000000000000963245521489678	0.000000000745459041348328	0.0000000883515284870969	0.00000397842780721335	0.000671269390509774	12642.2055677801	1.00049134519995
p_y[145,2]	0.999878956650772	0.0000168338923840125	0.00189276183504312	0.99932873060949	0.999996021572193	0.999999911648471	0.999999999254541	0.999999999999999	12642.2055677751	1.00049134519994
p_y[146,1]	0.993491565512408	0.000350013398162417	0.0343051986954249	0.956587292901095	0.997280590535696	0.999415182134935	0.999883905191677	0.999996435019805	9606.17601823366	0.999948131178647
p_y[146,2]	0.00650843448759242	0.000350013398162417	0.0343051986954249	0.00000356498019459956	0.000116094808322439	0.000584817865064643	0.00271940946430369	0.0434127070989044	9606.17601823364	0.999948131178647
p_y[147,1]	0.000246253756463337	0.0000236258899111222	0.00265477139753504	0.0000000000000682965003123165	0.0000000107165918100669	0.000000708850097504547	0.0000190398985532128	0.00166471238505624	12626.3524474832	1.0000223695935
p_y[147,2]	0.999753746243537	0.0000236258899111241	0.00265477139753504	0.998335287614944	0.999980960101447	0.999999291149902	0.999999989283408	0.999999999999932	12626.3524474812	1.0000223695935
p_y[148,1]	0.000301983878140533	0.0000335889035427394	0.00385618167529207	0.0000000000000986108211394049	0.0000000131507328328704	0.000000824790311752297	0.0000208164560715064	0.00189537897992911	13180.2400056115	1.00006889845943
p_y[148,2]	0.999698016121859	0.0000335889035427382	0.00385618167529207	0.998104621020071	0.999979183543929	0.999999175209688	0.999999986849267	0.999999999999901	13180.2400056124	1.00006889845943
p_y[149,1]	0.99891805626632	0.0000838943435283767	0.00829541509317401	0.992889488747138	0.99953497298106	0.999903236142686	0.999982089959312	0.999999550053256	9777.11863482496	1.00034278294425
